lat,lon,postal_code,municipality,province
50.70976366812478,4.403520554166193,1410,waterloo,Walloon Brabant
51.30529427138714,4.885090740973934,2350,vosselaar,Antwerp
50.87235752687971,3.345056110746947,8791,waregem,Other
50.87492645636235,3.1513772152801423,8880,ledegem,Other
51.19721509326913,2.998147048625271,8460,oudenburg,Other
50.45661065938685,4.946185429338447,5101,namur,Namur
51.26942532941101,5.481430155210708,3930,hamont-achel,Limburg
50.67444666979321,5.083404367538335,4280,hannut,Other
50.55370748488333,3.694148224086389,7972,belœil,Hainaut
51.248447820724365,4.376134025032607,2030,antwerpen,Antwerp
51.39934846859556,4.742741597146226,2320,hoogstraten,Antwerp
51.06274475941587,4.979785860950487,2431,laakdal,Antwerp
50.065483546895,5.111386048020265,6920,wellin,Luxembourg
50.847277895421854,2.640712715251964,8978,poperinge,Other
